2026-05-11 10:29:40 | ERROR    | nifty_bot.strategy        | No legs returned by strategy — aborting entry
2026-05-11 10:29:46 | INFO     | nifty_bot.strategy        | Entering atm_straddle | ATM=23850 | Expiry=2026-05-14
2026-05-11 10:29:47 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23750put: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:29:49 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23850put: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:29:50 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23900put: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:29:51 | INFO     | nifty_bot.breeze          | Options chain fetched: 0 contracts
2026-05-11 10:29:51 | INFO     | nifty_bot.breeze_feed     | BreezeFeed: chain built — 0 contracts, ATM=23850
2026-05-11 10:29:51 | INFO     | nifty_bot.strategy        | ATMStraddle legs: []
2026-05-11 10:29:51 | ERROR    | nifty_bot.strategy        | No legs returned by strategy — aborting entry
2026-05-11 10:29:56 | WARNING  | nifty_bot.breeze          | Spot fetch failed, using cache: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:29:56 | INFO     | nifty_bot.strategy        | Entering atm_straddle | ATM=23850 | Expiry=2026-05-14
2026-05-11 10:29:59 | WARNING  | nifty_bot.breeze          | Spot fetch failed, using cache: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:30:00 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23900call: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:30:02 | INFO     | nifty_bot.breeze          | Options chain fetched: 0 contracts
2026-05-11 10:30:02 | INFO     | nifty_bot.breeze_feed     | BreezeFeed: chain built — 0 contracts, ATM=23850
2026-05-11 10:30:02 | INFO     | nifty_bot.strategy        | ATMStraddle legs: []
2026-05-11 10:30:02 | ERROR    | nifty_bot.strategy        | No legs returned by strategy — aborting entry
2026-05-11 10:30:07 | INFO     | nifty_bot.strategy        | Entering atm_straddle | ATM=23850 | Expiry=2026-05-14
2026-05-11 10:30:09 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23800call: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:30:09 | WARNING  | nifty_bot.breeze          | Spot fetch failed, using cache: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:30:11 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23900call: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:30:12 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23950call: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:30:12 | INFO     | nifty_bot.breeze          | Options chain fetched: 0 contracts
2026-05-11 10:30:12 | INFO     | nifty_bot.breeze_feed     | BreezeFeed: chain built — 0 contracts, ATM=23850
2026-05-11 10:30:12 | INFO     | nifty_bot.strategy        | ATMStraddle legs: []
2026-05-11 10:30:12 | ERROR    | nifty_bot.strategy        | No legs returned by strategy — aborting entry
2026-05-11 10:30:18 | INFO     | nifty_bot.strategy        | Entering atm_straddle | ATM=23850 | Expiry=2026-05-14
2026-05-11 10:30:20 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23800put: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:30:22 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23900call: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:30:23 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23950call: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:30:23 | INFO     | nifty_bot.breeze          | Options chain fetched: 0 contracts
2026-05-11 10:30:23 | INFO     | nifty_bot.breeze_feed     | BreezeFeed: chain built — 0 contracts, ATM=23850
2026-05-11 10:30:23 | INFO     | nifty_bot.strategy        | ATMStraddle legs: []
2026-05-11 10:30:23 | ERROR    | nifty_bot.strategy        | No legs returned by strategy — aborting entry
2026-05-11 10:30:29 | INFO     | nifty_bot.strategy        | Entering atm_straddle | ATM=23850 | Expiry=2026-05-14
2026-05-11 10:30:30 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23750put: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:30:31 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23800put: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:30:33 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23900put: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:30:37 | INFO     | nifty_bot.breeze          | Options chain fetched: 0 contracts
2026-05-11 10:30:37 | INFO     | nifty_bot.breeze_feed     | BreezeFeed: chain built — 0 contracts, ATM=23850
2026-05-11 10:30:37 | INFO     | nifty_bot.strategy        | ATMStraddle legs: []
2026-05-11 10:30:37 | ERROR    | nifty_bot.strategy        | No legs returned by strategy — aborting entry
2026-05-11 10:30:43 | WARNING  | nifty_bot.breeze          | Spot fetch failed, using cache: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:30:43 | INFO     | nifty_bot.strategy        | Entering atm_straddle | ATM=23850 | Expiry=2026-05-14
2026-05-11 10:30:46 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23800put: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:30:48 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23900put: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:30:49 | INFO     | nifty_bot.breeze          | Options chain fetched: 0 contracts
2026-05-11 10:30:49 | INFO     | nifty_bot.breeze_feed     | BreezeFeed: chain built — 0 contracts, ATM=23850
2026-05-11 10:30:49 | INFO     | nifty_bot.strategy        | ATMStraddle legs: []
2026-05-11 10:30:49 | ERROR    | nifty_bot.strategy        | No legs returned by strategy — aborting entry
